,0
0,350.78125000000045
1,173.5937499999999
2,65.15625000000006
3,-243.59375
4,129.84375
5,358.28125000000017
6,-502.0312500000001
7,-367.34375000000017
8,90.15624999999994
9,75.46875
10,766.0937500000002
11,447.0312500000002
12,97.65625
13,588.28125
14,459.2187500000003
15,-217.34374999999994
16,47.34374999999994
17,-10.468750000000057
18,-323.59374999999994
19,536.7187500000003
20,-249.53124999999994
21,129.2187499999999
22,-30.156250000000114
23,848.9062500000001
24,562.03125
25,-202.65625
26,427.9687500000001
27,28.281249999999773
28,314.53124999999983
29,435.46874999999983
30,662.9687500000002
31,-373.2812500000001
