,0
0,848.0208333333342
1,198.64583333333337
2,399.6875000000009
3,1043.2291666666674
4,1069.895833333334
5,28.645833333333485
6,1075.3125
7,250.52083333333337
8,6.562500000000568
9,223.85416666666663
10,629.2708333333329
11,190.10416666666703
12,616.979166666667
13,33.22916666666731
14,853.4375000000002
15,602.6041666666662
16,-40.93750000000017
17,1260.5208333333335
18,622.395833333333
19,-258.22916666666623
20,411.97916666666686
21,-636.9791666666658
22,1065.3125000000002
23,407.39583333333314
24,1048.6458333333333
25,1287.1875
26,-188.64583333333258
27,1070.7291666666663
28,1265.9374999999995
29,1292.604166666666
30,405.10416666666697
31,-233.02083333333303
