1,0,1,0,0,1,0,1,16401
1,0,1,0,1,0,1,1,17901
1,0,1,0,0,1,0,1,11401
1,1,1,0,0,1,0,0,12901
1,1,0,1,1,0,0,0,12901
1,0,0,0,0,0,1,0,13901
1,1,0,1,1,0,0,0,14401
1,0,0,1,1,0,1,0,15401
1,0,0,1,1,0,0,1,13901
1,1,0,0,0,1,1,0,12401
1,0,1,1,0,1,0,0,11401
0,1,1,0,1,1,1,0,14401
1,1,1,0,0,0,1,0,11401
1,1,0,0,1,0,0,1,12401
0,1,1,0,0,0,0,0,15901
1,0,1,0,0,0,0,0,10401
0,1,1,1,0,0,1,0,11401
1,1,0,0,0,0,1,1,13901
0,1,1,1,0,0,0,1,13401
1,1,0,1,0,0,1,1,13901
1,1,0,1,1,0,1,0,13901
1,1,0,1,0,0,0,1,12901
0,0,0,0,0,1,1,1,13401
0,1,1,1,1,0,1,0,16401
1,1,1,1,0,0,1,0,11401
1,1,0,1,1,0,1,1,13901
1,1,0,1,0,1,0,1,9901
1,1,0,1,0,0,1,1,13401
1,1,1,1,0,0,1,1,12901
1,1,1,1,0,0,1,0,12401
1,1,1,0,0,1,1,1,13901
1,1,1,1,0,1,0,1,15401
0,1,1,1,0,0,1,1,13901
1,1,1,1,0,1,0,1,15401
0,1,0,1,0,0,1,1,15401
1,1,1,0,0,0,1,1,12901
1,1,0,1,0,1,0,0,12901
1,1,1,0,1,1,1,1,14401
0,1,0,1,0,0,1,0,14901
1,1,1,1,1,0,0,0,12901
1,1,0,1,0,0,0,1,8901
0,1,0,1,1,1,0,1,15901
0,1,1,1,1,1,0,0,13401
0,1,0,0,1,0,0,1,12401
1,1,0,0,1,1,0,1,11401
0,1,0,1,0,1,1,1,12901
0,1,1,1,1,1,0,1,15901
1,1,0,1,0,1,0,0,11401
1,1,0,0,1,1,0,0,15401
1,1,1,1,0,1,0,0,13401
